n,basis,trace_sum,rate,ci_lower,ci_upper,trials
12,Paley,0.44267304370918314,1.0,0.996173241514445,1.0,1000
12,Paley,0.448795492688775,1.0,0.996173241514445,1.0,1000
12,Paley,0.45491794166836685,1.0,0.996173241514445,1.0,1000
12,Paley,0.46104039064795865,1.0,0.996173241514445,1.0,1000
12,Paley,0.4671628396275505,1.0,0.996173241514445,1.0,1000
12,Paley,0.47328528860714236,1.0,0.996173241514445,1.0,1000
12,Paley,0.47940773758673416,1.0,0.996173241514445,1.0,1000
12,Paley,0.485530186566326,1.0,0.996173241514445,1.0,1000
12,Paley,0.49165263554591787,1.0,0.996173241514445,1.0,1000
12,Paley,0.49777508452550967,1.0,0.996173241514445,1.0,1000
12,Paley,0.5038975335051016,1.0,0.996173241514445,1.0,1000
12,Paley,0.5100199824846934,1.0,0.996173241514445,1.0,1000
12,Paley,0.5161424314642852,1.0,0.996173241514445,1.0,1000
12,Paley,0.5222648804438771,1.0,0.996173241514445,1.0,1000
12,Paley,0.5283873294234689,1.0,0.996173241514445,1.0,1000
12,Paley,0.5345097784030608,1.0,0.996173241514445,1.0,1000
12,Paley,0.5406322273826526,1.0,0.996173241514445,1.0,1000
12,Paley,0.5467546763622444,1.0,0.996173241514445,1.0,1000
12,Paley,0.5528771253418363,1.0,0.996173241514445,1.0,1000
12,Paley,0.5589995743214281,1.0,0.996173241514445,1.0,1000
12,Paley,0.5651220233010199,1.0,0.996173241514445,1.0,1000
12,Paley,0.5712444722806118,1.0,0.996173241514445,1.0,1000
12,Paley,0.5773669212602036,1.0,0.996173241514445,1.0,1000
12,Paley,0.5834893702397954,1.0,0.996173241514445,1.0,1000
12,Paley,0.5896118192193873,1.0,0.996173241514445,1.0,1000
12,Paley,0.5957342681989791,1.0,0.996173241514445,1.0,1000
12,Paley,0.6018567171785709,1.0,0.996173241514445,1.0,1000
12,Paley,0.6079791661581628,1.0,0.996173241514445,1.0,1000
12,Paley,0.6141016151377546,1.0,0.996173241514445,1.0,1000
16,Cycle,0.3302169350517099,0.985,0.9753990230730932,0.9908890211959184,1000
16,Cycle,0.3367431200506546,0.984,0.97416793978826,0.9901277579977227,1000
16,Cycle,0.3432693050495993,0.989,0.9804106042992137,0.9938468259019134,1000
16,Cycle,0.349795490048544,0.992,0.9842936654690199,0.995940804181194,1000
16,Cycle,0.3563216750474887,0.996,0.9897604437227377,0.9984434118595916,1000
16,Cycle,0.3628478600464334,0.997,0.9912169859464969,0.9989792161188614,1000
16,Cycle,0.3693740450453781,0.999,0.9943574414020421,0.9998234536293739,1000
16,Cycle,0.37590023004432277,1.0,0.996173241514445,1.0,1000
16,Cycle,0.38242641504326746,1.0,0.996173241514445,1.0,1000
16,Cycle,0.38895260004221216,1.0,0.996173241514445,1.0,1000
16,Cycle,0.39547878504115686,1.0,0.996173241514445,1.0,1000
16,Cycle,0.40200497004010155,1.0,0.996173241514445,1.0,1000
16,Cycle,0.40853115503904625,1.0,0.996173241514445,1.0,1000
16,Cycle,0.41505734003799094,1.0,0.996173241514445,1.0,1000
16,Cycle,0.42158352503693564,1.0,0.996173241514445,1.0,1000
16,Cycle,0.42810971003588033,1.0,0.996173241514445,1.0,1000
16,Cycle,0.434635895034825,1.0,0.996173241514445,1.0,1000
16,Cycle,0.4411620800337697,1.0,0.996173241514445,1.0,1000
16,Cycle,0.4476882650327144,1.0,0.996173241514445,1.0,1000
16,Cycle,0.4542144500316591,1.0,0.996173241514445,1.0,1000
16,Cycle,0.4607406350306038,1.0,0.996173241514445,1.0,1000
